No.,Letra,Correlativo,Origen,Año,Epoca,Fecha,Número,Página,Sección,Título,Subtítulo,Autores,Tema 1,Tema 2,Tema 3,Tema 4,Tema 5,Revisado,Corrección_Ortográfica,Revisión_LT_Errores
56,V,1.4,El Periódico,23,,2/09/2019,8156,10,inversión ,Prevalecen visas temporales para empleo agrícola,,-,Visas,Visas laborales - Temporales,NI,,,,,
57,V,1.3,Prensa Libre,LXVIII,,1/09/2019,22861,8,Actualidad,Plan de visas temporales rige desde hace dos años,,Natiana Gándara,Visas laborales temporales ,Acuerdo - Guatemala - EE.UU,NI,,,,,
58,V,1.2,Prensa Libre,LXVIII,,27/08/2019,22872,10,Actualidad,"Solicitudes de visas agrícolas van en alza, pese a incertidumbre",,Natiana Gándara,Visa laboral temporal,Trabajadores - Agrícolas ,NI,,,,,
59,V,1.1,Prensa Libre,LXVIII,,23/07/2019,,6,Actualidad,Podrian darse visas laborales temporales en sector agrícola,,"Sergio Morales, Mike Castillo y Miguel Barrientos",Visas laborales temporales ,Visas - Sector agrícola,EE.UU - Guatemala,,,,,
60,V,1.16,Prensa Libre,LXXIV,,9/09/2024,,32,Internacional,El país más afectado por mpox pide ayuda,,Samuel Roger Kamba,Viruela del mono (símica),Mpox,República del Congo,,,,,
61,V,1.15,Prensa Libre,LXXIII,,1/09/2024,,17,El mundo,R.D. del Congo ha guardado por años dosis contra mpox,,Stephanie Nolen,Viruela del mono (símica),Mpox,Vacunas,,,,,
62,V,1.14,Prensa Libre,LXXIII,,56/08/2024,,26,Salud y Vida,¿En qué consiste la VIRUELA DEL MONO?,,Adaya Gonzáles,Viruela del mono (símica),Mpox,Contagio,Síntomas,,,,
63,V,1.13,Prensa Libre,LXXIV,,24/08/2024,,22,Internacional,Advierten de aluvión de falsedades sobre viruela,,-,Viruela del mono (símica),Mpox,OMS,Homofobia,Muerte - Causas,,,
64,V,1.12,Prensa Libre,LXXIV,,23/08/2024,,32,Internacional,Asia registra primer caso de mpox,,EFE,Viruela del mono (símica),Mpox,OMS,Emergencia Sanitaria,,,,
65,V,1.11,Prensa Libre,LXXIV,,24/08/2024,,21,Internacional,Aumentan casos de mpox y región vigilia,,"AFP, EFE",Viruela del mono (símica),Mpox (Enfermedad  Zoonótica),Muerte - Causas,,,,,
66,V,1.1,Prensa Libre,LXXIV,,20/08/2024,,21,Comunitario,Nueva cepa de viruela podría ser más rápida,,The New York Times,Viruela del mono (símica),Mpox - Epidemia,OMS,,,,,
